Mailing City,Mailing State/Province,Mailing Country,Reporting Term,Program SeleConnecticution: Program SeleConnecticution Name,Admissions Status,Status
Cherry Hill,New Jersey,United States,Fall 2022,Chemistry - Accelerated BA/MS (MS),Admit-Coming,A/C
Camden,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Withdrawn,Did Not A/C
Camden,New Jersey,United States,Fall 2022,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Elgin,Illinois,United States of America,Fall 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Toms River,New Jersey,United States,Fall 2022,Public Affairs/Community Development (MS),Admit-Not Coming,Did Not A/C
Philadelphia,Pennsylvania,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Merchantville,New Jersey,United States,Fall 2022,Prevention Science (PHD),Started App,Did Not A/C
Medford,New Jersey,United States,Fall 2022,Liberal Studies - Online (MA),Started App,Did Not A/C
Turnersville,New Jersey,United States,Summer 2022,Teacher Education (MAT),Admit-Not Coming,Did Not A/C
Glassboro,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Riverton,New Jersey,United States,Fall 2022,English (MA),Admit-Coming,A/C
Bridgeton,New Jersey,United States,Fall 2023,Computer Science: Scientific Computing (NOD),Started App,Did Not A/C
Willingboro,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Berlin,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Coming,A/C
Plainsboro,New Jersey,United States,Fall 2022,Biology (MS),Denied,Did Not A/C
Willingboro,New Jersey,United States,Summer 2022,Criminal Justice (NOD),Withdrawn,Did Not A/C
Cherry Hill,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
Riverside,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
Hammonton,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Mullica Hill,New Jersey,United States,Fall 2022,Public Administration - On Campus (MPA),Admit-Not Coming,Did Not A/C
Hackettstown,New Jersey,United States,Summer 2022,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Jackson,New Jersey,United States of America,Fall 2022,Childhood Studies (MA),Withdrawn,Did Not A/C
Cranford,New Jersey,United States,Summer 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Bergenfield,New Jersey,United States of America,Fall 2024,Forensic Science (MS),Started App,Did Not A/C
COLLINGSWOOD,New Jersey,United States of America,Fall 2022,Criminal Justice (MA),Admit-Coming,A/C
Phila,Pennsylvania,United States,Fall 2023,Business and Science - Computer and Information Sciences (MBS) Camden,Started App,Did Not A/C
Monroe Township,New Jersey,United States,Fall 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Bellmawr,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Daphne,Alabama,United States,Summer 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Berlin,New Jersey,United States,Fall 2022,English (MA),Started App,Did Not A/C
Sewell,New Jersey,United States of America,Fall 2022,Public Affairs/Community Development (MS),Admit-Coming,A/C
Somerset,New Jersey,United States,Summer 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Turnersville,New Jersey,United States of America,Fall 2022,Public Administration - On Campus (MPA),Admit-Coming,A/C
Henrico,Virginia,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
College Station,TX,United States,Fall 2022,Criminal Justice (MA),Admit-Not Coming,Did Not A/C
Belle Mead,New Jersey,United States of America,Fall 2023,Business and Science - Computer and Information Sciences - 4 + 1 (MBS) Camden,Withdrawn,Did Not A/C
Portales,New Mexico,United States,Fall 2022,Mathematical Sciences (MS),Admit-Not Coming,Did Not A/C
Mount Royal,New Jersey,United States,Fall 2022,Forensic Science (MS),Withdrawn,Did Not A/C
Corvallis,Oregon,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Inman,South Carolina,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Baltimore,Maryland,United States,Summer 2022,Liberal Studies - Online (MA),Started App,Did Not A/C
Greensboro,North Carolina,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Collingswood,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
Pitman,New Jersey,United States of America,Spring 2023,Teacher Education (MAT),Withdrawn,Did Not A/C
Reston,Virginia,United States,Fall 2022,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Mount Ephraim,New Jersey,United States of America,Spring 2023,Criminal Justice (MA),Deferred to Fall,Did Not A/C
Haddon Township,New Jersey,United States,Fall 2022,Teacher Education (MAT),Started App,Did Not A/C
Bethesda,Maryland,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Westfield,New Jersey,United States,Summer 2022,Liberal Studies - Online (MA),Admit-Not Coming,Did Not A/C
Lyme,New Hampshire,United States,Fall 2022,Childhood Studies (MA),Started App,Did Not A/C
haddonfield,New Jersey,United States,Fall 2022,Teacher Education - Spanish (MAT),Withdrawn,Did Not A/C
Boca Raton,Florida,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Pine Hill,New Jersey,United States,Fall 2022,Public Administration - On Campus (MPA),Admit-Coming,A/C
Camden,New Jersey,United States,Summer 2022,Business and Science - Computer and Information Sciences (MBS) Camden,Denied,Did Not A/C
Cranbury,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Started App,Did Not A/C
NUTLEY,New Jersey,United States,Fall 2022,Liberal Studies (NOD),Started App,Did Not A/C
Pelion,South Carolina,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Coming,A/C
Ocean City,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
WILLIAMSTOWN,New Jersey,United States of America,Fall 2024,Public Affairs/Community Development (MS),Withdrawn,Did Not A/C
Palmyra,New Jersey,United States of America,Fall 2024,Teacher Education (MAT),Admit-Coming,A/C
Washington,DistriConnecticut of Columbia,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Mathematical Sciences (MS),Admit-Not Coming,Did Not A/C
Westfield,New Jersey,United States of America,Fall 2022,Teacher Education - Spanish (MAT),Admit-Coming,A/C
Quakertown,Pennsylvania,United States,Fall 2022,Public Administration - On Campus (MPA),Admit-Coming,A/C
Lakeland,Florida,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Not Coming,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2022,Public Affairs/Community Development (MS),Admit-Coming,A/C
Sicklerville,New Jersey,United States,Fall 2022,Public Affairs/Community Development (MS),Admit-Coming,A/C
Pembroke Pines,Florida,United States,Fall 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Clementon,New Jersey,United States,Fall 2022,Criminal Justice (MA),Admit-Not Coming,Did Not A/C
Lawrenceville,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Williamstown,New Jersey,United States,Fall 2022,Public Affairs/Community Development (MS),Started App,Did Not A/C
Bordentown,New Jersey,United States,Fall 2022,Teacher Education - Spanish (MAT),Admit-Coming,A/C
Worcester,Massachusetts,United States,Fall 2022,Computer Science: Scientific Computing (MS),Withdrawn,Did Not A/C
Snellville,Georgia,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Pittsburgh,Pennsylvania,United States,Fall 2022,Biology (MS),Started App,Did Not A/C
New Brunswick,New Jersey,United States,Fall 2022,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
Glassboro,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Conway,Arkansas,United States,Summer 2022,Liberal Studies - Online (MA),Started App,Did Not A/C
San Diego,California,United States,Spring 2023,Biology (MS),Started App,Did Not A/C
Middlebury,Connecticut,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Grand JunConnecticution,Colorado,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Coram,New York,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Grand Haven,Michigan,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Delray Beach,Florida,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Butler,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Clifton,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Withdrawn,Did Not A/C
Somerville,New Jersey,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Milford,Delaware,United States,Spring 2023,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Millburn,New Jersey,United States,Summer 2022,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Modesto,California,United States of America,Fall 2023,Public Affairs/Community Development (MS),Denied,Did Not A/C
Daytona Beach,Florida,United States,Fall 2022,Public Affairs/Community Development (MS),Started App,Did Not A/C
Jersery City,New Jersey,United States of America,Spring 2023,Biology: Computational and Integrative (PHD),Denied,Did Not A/C
South Waltham,Massachusetts,United States of America,Fall 2023,Public Affairs/Community Development (MS),Denied,Did Not A/C
Kingston,New York,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Phila,Pennsylvania,United States,Fall 2022,Public Affairs/Community Development (MS),Admit-Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2022,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Auburn Hills,Michigan,United States of America,Fall 2022,Biology: Computational and Integrative (PHD),Deferred to Fall,Did Not A/C
Camden,New Jersey,United States of America,Fall 2022,Biology: Computational and Integrative (MS),Admit-Coming,A/C
Staten Island,New York,United States,Fall 2022,Forensic Science (MS),Admit-Withdrawn,Did Not A/C
Cambridge,Massachusetts,United States,Spring 2023,Biology: Computational and Integrative (PHD),Started App,Did Not A/C
Wyoming,Minnesota,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Not Coming,Did Not A/C
Galesburg,Illinois,United States,Fall 2022,Public Affairs/Community Development (PHD),Admit-Coming,A/C
Brighton,Massachusetts,United States,Fall 2022,Public Affairs/Community Development (MS),Admit-Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States of America,Fall 2022,Public Affairs/Community Development (MS),Admit-Coming,A/C
Lindenwold,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Mount Vernon,Washington,United States,Fall 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Indianapolis,IN,United States,Fall 2022,"History (American, Global, Public) (MA)",Admit-Coming,A/C
Los Angeles,CA,United States,Summer 2022,Liberal Studies - Online (MA),Admit-Coming,A/C
Hagaman,New York,United States,Fall 2022,Forensic Science (MS),Admit-Withdrawn,Did Not A/C
Camden,New Jersey,United States of America,Fall 2022,Public Affairs/Community Development (MS),Admit-Coming,A/C
Maplewood,New Jersey,United States,Summer 2022,Teacher Education - Spanish (MAT),Started App,Did Not A/C
Forest Hills,New York,United States of America,Fall 2022,Public Affairs/Community Development (MS),Deferred to Fall,Did Not A/C
Buffalo,New York,United States of America,Fall 2022,Biology: Computational and Integrative (PHD),Admit-Coming,A/C
Alexandria,Virginia,United States,Summer 2022,Liberal Studies - Online (MA),Denied,Did Not A/C
Cedar Grove,New Jersey,United States,Fall 2022,Biology: Computational and Integrative (MS),Started App,Did Not A/C
Villas,New Jersey,United States,Fall 2022,Public Administration - Accelerated Degree BA/MPA (MPA),Admit-Coming,A/C
Sicklerville,New Jersey,United States of America,Fall 2023,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Vineland,New Jersey,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Medford Lakes,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Roselle,New Jersey,United States of America,Spring 2023,Forensic Science (MS),Withdrawn,Did Not A/C
Boston,Massachusetts,United States of America,Fall 2023,Public Affairs/Community Development (MS),Denied,Did Not A/C
Auburn Hills,Michigan,United States of America,Fall 2022,Biology (MS),Admit-Not Coming,Did Not A/C
Sicklerville,New Jersey,United States,Fall 2023,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Little Egg Harbor Twp,New Jersey,United States,Fall 2022,"History (American, Global, Public) (NOD)",Withdrawn,Did Not A/C
Perth Amboy,New Jersey,United States,Spring 2023,Forensic Science (MS),Started App,Did Not A/C
Hillsborough,New Jersey,United States,Fall 2022,Liberal Studies - Online (MA),Started App,Did Not A/C
Somerdale,New Jersey,United States,Fall 2022,Criminal Justice (MA),Started App,Did Not A/C
Camden,New Jersey,United States of America,Fall 2024,Public Affairs/Community Development (PHD),Admit-Not Coming,Did Not A/C
Somerset,New Jersey,United States,Summer 2022,Teacher Education (MAT),Started App,Did Not A/C
Yeadon,Pennsylvania,United States,Fall 2022,Biology (NOD),Withdrawn,Did Not A/C
Philadelphia,PA,United States,Summer 2022,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Marlton,New Jersey,United States,Spring 2023,English (MA),Started App,Did Not A/C
Neosho,Missouri,United States of America,Fall 2022,"History (American, Global, Public) (MA)",Deferred to Fall,Did Not A/C
Trenton,New Jersey,United States of America,Fall 2022,Criminal Justice (MA),Deferred to Spring,Did Not A/C
Edison,New Jersey,United States of America,Fall 2022,Computer Science: Scientific Computing (MS),Admit-Not Coming,Did Not A/C
New York,New York,United States,Spring 2023,Teacher Education (MAT),Started App,Did Not A/C
Clifton,New Jersey,United States,Fall 2023,Public Affairs/Community Development (PHD),Started App,Did Not A/C
Woodlynne,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
East Windsor,New Jersey,United States,Fall 2022,Computer Science: Scientific Computing (MS),Withdrawn,Did Not A/C
Clermont,Florida,United States of America,Fall 2023,Creative Writing (MFA) Camden,Withdrawn,Did Not A/C
WILLINGBORO,New Jersey,United States of America,Fall 2023,Childhood Studies (MA),Deferred to Spring,Did Not A/C
Cherry Hill,New Jersey,United States of America,Fall 2022,Chemistry (MS),Admit-Coming,A/C
Bloomington,Indiana,United States,Fall 2022,English (MA),Admit-Withdrawn,Did Not A/C
Cherry Hill,New Jersey,United States,Fall 2022,Forensic Science (MS),Admit-Coming,A/C
Unionville,ConneConnecticuticut,United States,Fall 2022,Criminal Justice (MA),Admit-Withdrawn,Did Not A/C
King of Prussia,PA,United States of America,Fall 2022,Public Affairs/Community Development (MS),Admit-Coming,A/C
Cherry Hill,New Jersey,United States of America,Fall 2022,Biology: Computational and Integrative (PHD),Denied,Did Not A/C
Lindenwold,New Jersey,United States of America,Fall 2024,Public Administration - On Campus (MPA),Started App,Did Not A/C
Paoli,Pennsylvania,United States,Summer 2022,Biology (NOD),Denied,Did Not A/C
Cherry Hill,New Jersey,United States,Fall 2022,Teacher Education (MAT),Admit-Coming,A/C
Pittsburgh,Pennsylvania,United States,Summer 2022,Liberal Studies - Online (MA),Deferred to Fall,Did Not A/C
Bellmawr,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Started App,Did Not A/C
Florham Park,New Jersey,United States,Fall 2022,Teacher Education (MAT),Started App,Did Not A/C
Brooklyn,New York,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Coming,A/C
Mays Landing,New Jersey,United States,Fall 2022,Computer Science: Scientific Computing (MS),Started App,Did Not A/C
Neptune,New Jersey,United States,Fall 2022,Public Administration - On Campus (MPA),Admit-Coming,A/C
Neptune,New Jersey,United States,Fall 2022,Criminal Justice (MA),Admit-Not Coming,Did Not A/C
Beltsville,Maryland,United States,Fall 2023,Business and Science - Computer and Information Sciences (MBS) Camden,Started App,Did Not A/C
North Brunswick,New Jersey,United States,Fall 2022,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Cherry Hill,New Jersey,United States,Fall 2022,Mathematical Sciences (MS),Admit-Coming,A/C
Norwell,MA,United States,Fall 2022,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Philadelphia,Pennsylvania,United States,Fall 2022,Biology (MS),Admit-Withdrawn,Did Not A/C
North Bergen,New Jersey,United States,Summer 2022,Liberal Studies - Online (MA),Started App,Did Not A/C
Lincoln,Nebraska,United States,Fall 2022,Liberal Studies (MA),Withdrawn,Did Not A/C
Huntington,West Virginia,United States,Fall 2022,Liberal Studies (MA),Withdrawn,Did Not A/C
Staten Island,New York,United States,Fall 2022,Liberal Studies (MA),Admit-Withdrawn,Did Not A/C
New York,New York,United States,Fall 2022,Mathematical Sciences (MS),Admit-Withdrawn,Did Not A/C
Jacksonville,Florida,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Somers,Connecticut,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Withdrawn,Did Not A/C
Lithia,Florida,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Reno,Nevada,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Phila,Pennsylvania,United States,Fall 2023,Creative Writing (MFA) Camden,Started App,Did Not A/C
Reisterstown,Maryland,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Lawrence,KS,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Ewing,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Bowling Green,Ohio,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Withdrawn,Did Not A/C
Elwood,New Jersey,United States,Fall 2022,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Coming,A/C
Sicklerville,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (NOD),Withdrawn,Did Not A/C
Voorhees,New Jersey,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Mount Holly,New Jersey,United States of America,Fall 2022,Childhood Studies (MA),Deferred to Fall,Did Not A/C
Camden,New Jersey,United States,Summer 2022,English (NOD),Started App,Did Not A/C
Jackson,New Jersey,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Staten Island,New York,United States,Fall 2022,Mathematical Sciences (MS),Admit-Coming,A/C
Camden,New Jersey,United States,Fall 2022,Criminal Justice (MA),Started App,Did Not A/C
Bridgeport,ConneConnecticuticut,United States,Fall 2023,English (MA),Started App,Did Not A/C
Edison,New Jersey,United States of America,Fall 2024,"Public Administration, Executive Program (West Windsor, Saturday Morning) (MPA)",Admit-Not Coming,Did Not A/C
Farmingdale,New Jersey,United States,Fall 2022,Teacher Education (MAT),Withdrawn,Did Not A/C
Bennington,Vermont,United States,Fall 2023,English (MA),Started App,Did Not A/C
Lawrenceville,New Jersey,United States of America,Fall 2023,Liberal Studies (MA),Admit-Coming,A/C
Brooklyn,New York,United States of America,Fall 2022,Childhood Studies (MA),Admit-Withdrawn,Did Not A/C
Lansing,Michigan,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Philadelphia,PA,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
philadelphia,pa,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Camden,New Jersey,United States of America,Fall 2022,Mathematical Sciences (MS),Admit-Coming,A/C
milwaukee,Wisconsin,United States,Spring 2023,Liberal Studies - Online (MA),Started App,Did Not A/C
Toms River,New Jersey,United States,Spring 2023,Biology: Computational and Integrative (MS),Started App,Did Not A/C
West Orange,New Jersey,United States of America,Fall 2022,Biology (MS),Denied,Did Not A/C
South Orange,New Jersey,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Coming,A/C
Pomona,New York,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Deptford,New Jersey,United States,Fall 2022,Biology (MS),Admit-Coming,A/C
Dayton,New Jersey,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Oakdale,New York,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Grand Rapids,Michigan,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Deferred to Fall,Did Not A/C
Carneys Point,New Jersey,United States,Summer 2022,Teacher Education (MAT),Started App,Did Not A/C
Kissimmee,Florida,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Weymouth,MA,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Brooklyn,New York,United States,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Rockford,Illinois,United States,Fall 2022,Psychology: Psychological Sciences (MA),Admit-Not Coming,Did Not A/C
Germantown,Maryland,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Memphis,Tennessee,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Withdrawn,Did Not A/C
Buffalo,NY,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Marlton,New Jersey,United States of America,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Portsmouth,Rhode Island,United States,Fall 2022,Biology (MS),Admit-Not Coming,Did Not A/C
Princeton JunConnecticution,New Jersey,United States,Fall 2022,Liberal Studies - Online (MA),Admit-Withdrawn,Did Not A/C
Camden,New Jersey,United States,Fall 2022,Childhood Studies (MA),Started App,Did Not A/C
Matawan,New Jersey,United States,Spring 2023,"History (American, Global, Public) (MA)",Started App,Did Not A/C
West Orange,New Jersey,United States of America,Fall 2022,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Whitehall,Ohio,United States,Fall 2022,Biology: Computational and Integrative (MS),Denied,Did Not A/C
Galloway,New Jersey,United States of America,Fall 2022,English (MA),Admit-Coming,A/C
Philadelphia,Pennsylvania,United States of America,Fall 2022,English (MA),Denied,Did Not A/C
Hudson,WI,United States,Fall 2022,English (MA),Denied,Did Not A/C
Bridgeport,ConneConnecticuticut,United States,Fall 2022,English (MA),Admit-Withdrawn,Did Not A/C
Huntington,West Virginia,United States,Fall 2022,English (MA),Admit-Withdrawn,Did Not A/C
Tinton Falls,New Jersey,United States of America,Fall 2022,English (MA),Admit-Withdrawn,Did Not A/C
Hamilton,New Jersey,United States,Fall 2022,Teacher Education - Spanish (MAT),Started App,Did Not A/C
Brooklyn,New York,United States of America,Fall 2022,Public Affairs/Community Development (MS),Deferred to Fall,Did Not A/C
Tulsa,OK,United States,Fall 2022,Public Affairs/Community Development (MS),Admit-Withdrawn,Did Not A/C
Mays Landing,New Jersey,United States,Fall 2022,Criminal Justice (MA),Withdrawn,Did Not A/C
Branchburg,New Jersey,United States of America,Fall 2022,Biology: Computational and Integrative (MS),Admit-Withdrawn,Did Not A/C
Egg Harbor Township,New Jersey,United States,Fall 2023,English (MA),Started App,Did Not A/C
Temple Hills,Maryland,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Fayette,Missouri,United States,Fall 2022,Psychology: Psychological Sciences (MA),Denied,Did Not A/C
Medford,New Jersey,United States,Fall 2022,Biology (MS),Started App,Did Not A/C
Atco,New Jersey,United States,Fall 2022,English (MA),Admit-Coming,A/C
